year_week,CPALTT01USM657N,VIXCLS,DGS10,AAA10Y,BAMLH0A0HYM2EY,GEPUCURRENT,DGS3MO,acwi_log_div,std_5_acwi_log_div,mean_5_acwi_log_div,std_8_acwi_log_div,mean_8_acwi_log_div,std_13_acwi_log_div,mean_13_acwi_log_div,std_21_acwi_log_div,mean_21_acwi_log_div,std_34_acwi_log_div,mean_34_acwi_log_div,std_55_acwi_log_div,mean_55_acwi_log_div,std_89_acwi_log_div,mean_89_acwi_log_div,std_144_acwi_log_div,mean_144_acwi_log_div,pmi_us_gt_50_up,pmi_us_gt_50_down,pmi_us_lt_50_up,pmi_us_lt_50_down,BAMLEMCBPIOAS_log_div,std_5_BAMLEMCBPIOAS_log_div,mean_5_BAMLEMCBPIOAS_log_div,std_8_BAMLEMCBPIOAS_log_div,mean_8_BAMLEMCBPIOAS_log_div,std_13_BAMLEMCBPIOAS_log_div,mean_13_BAMLEMCBPIOAS_log_div,std_21_BAMLEMCBPIOAS_log_div,mean_21_BAMLEMCBPIOAS_log_div,std_34_BAMLEMCBPIOAS_log_div,mean_34_BAMLEMCBPIOAS_log_div,std_55_BAMLEMCBPIOAS_log_div,mean_55_BAMLEMCBPIOAS_log_div,std_89_BAMLEMCBPIOAS_log_div,mean_89_BAMLEMCBPIOAS_log_div,std_144_BAMLEMCBPIOAS_log_div,mean_144_BAMLEMCBPIOAS_log_div,USTREASURY/HQMYC_10.0-20.0,USTREASURY/YIELD_10 YR-20 YR,dxy_log_div,std_5_dxy_log_div,mean_5_dxy_log_div,std_8_dxy_log_div,mean_8_dxy_log_div,std_13_dxy_log_div,mean_13_dxy_log_div,std_21_dxy_log_div,mean_21_dxy_log_div,std_34_dxy_log_div,mean_34_dxy_log_div,std_55_dxy_log_div,mean_55_dxy_log_div,std_89_dxy_log_div,mean_89_dxy_log_div,std_144_dxy_log_div,mean_144_dxy_log_div
1996-00,0.586319218241036,13.58,5.69,1.11,,,5.19,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.41999999999999993,,,,,,,,,,,,,,,,,
1996-01,0.5206979629035775,14.23,5.75,1.14,,,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46999999999999975,,,,,,,,,,,,,,,,,
1996-02,0.45507670756611907,12.7,5.54,1.19,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47999999999999954,,,,,,,,,,,,,,,,,
1996-03,0.3894554522286605,12.0,5.65,1.17,,,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4499999999999993,,,,,,,,,,,,,,,,,
1996-04,0.323834196891202,13.23,5.66,1.21,,,4.99,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-0.6600000000000001,-0.5,,,,,,,,,,,,,,,,,
1996-05,0.37199120609318803,14.63,5.66,1.21,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5099999999999998,,,,,,,,,,,,,,,,,
1996-06,0.420148215295174,15.37,5.76,1.22,,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5099999999999998,,,,,,,,,,,,,,,,,
1996-07,0.46830522449716,14.78,5.97,1.2,,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5300000000000002,,,,,,,,,,,,,,,,,
1996-08,0.516462233699146,16.72,5.99,1.16,,,4.98,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,-0.7800000000000002,-0.4900000000000002,,,,,,,,,,,,,,,,,
1996-09,0.4902410779034438,20.7,6.41,1.01,,,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4299999999999997,,,,,,,,,,,,,,,,,
