Date,DXY
19970102,88.34
19970103,89.3
19970106,89.14
19970107,89.01
19970108,89.45
19970109,89.45
19970110,89.77
19970113,89.98
19970114,90.31
19970115,89.91
19970116,90.08
19970117,90.86
19970120,91.53
19970121,91.62
19970122,92.47
19970123,92.56
19970124,92.12
19970127,92.77
19970128,93.16
19970129,93.02
19970130,92.83
19970131,93.04
19970203,93.09
19970204,93.24
19970205,93.32
19970206,93.47
19970207,93.68
19970210,93.52
19970211,94.25
19970212,94.71
19970213,94.8
19970214,94.91
19970217,95.24
19970218,95.15
19970219,95.53
19970220,94.91
19970221,95.04
19970224,94.29
19970225,94.26
19970226,94.94
19970227,94.87
19970228,94.89
19970303,95.39
19970304,96.08
19970305,95.92
19970306,95.9
19970307,96.12
19970310,95.58
19970311,95.73
19970312,95.42
19970313,96.02
19970314,95.58
19970317,95.68
19970318,94.98
19970319,95.2
19970320,95.7
19970321,95.28
19970324,95.25
19970325,95.48
19970326,95.33
19970327,94.69
19970331,94.72
19970401,94.09
19970402,94.75
19970403,94.3
19970404,95.12
19970407,96.15
19970408,96.35
19970409,96.92
19970410,96.54
19970411,96.57
19970414,96.94
19970415,96.72
19970416,96.85
19970417,96.7
19970418,96.29
19970421,95.8
19970422,96.52
19970423,96.44
19970424,96.5
19970425,97.1
19970428,97.31
19970429,96.91
19970430,97.18
19970501,96.81
19970502,97.04
19970505,97.16
19970506,96.51
19970507,96.51
19970508,95.97
19970509,94.9
19970512,95.46
19970513,94.88
19970514,94.5
19970515,94.38
19970516,94.26
19970519,94.68
19970520,93.26
19970521,94.01
19970522,94.36
19970523,94.24
19970527,94.95
19970528,94.56
19970529,94.65
19970530,94.85
19970602,95.73
19970603,95.52
19970604,95.73
19970605,95.58
19970606,95.52
19970609,94.7
19970610,94.98
19970611,94.78
19970612,95.48
19970613,95.79
19970616,95.43
19970617,95.41
19970618,95.51
19970619,95.07
19970620,95.3
19970623,94.89
19970624,95.18
19970625,95.02
19970626,94.94
19970627,95.55
19970630,95.67
19970701,95.85
19970702,95.86
19970703,95.57
19970704,95.65
19970707,95.49
19970708,95.84
19970709,95.85
19970710,95.58
19970711,96.32
19970714,97.15
19970715,97.28
19970716,97.23
19970717,97.47
19970718,97.35
19970721,97.45
19970722,98.19
19970723,98.4
19970724,98.87
19970725,99.13
19970728,99.65
19970729,99.62
19970730,99.56
19970731,99.55
19970801,100.43
19970804,100.61
19970805,101.17
19970806,101.39
19970807,101.03
19970808,99.75
19970811,100.41
19970812,100.76
19970813,99.67
19970814,100.05
19970815,99.05
19970818,99.39
19970819,99.89
19970820,100.47
19970821,99.82
19970822,99.06
19970825,99.26
19970826,98.36
19970827,98.6
19970828,98.2
19970829,99
19970901,99.05
19970902,100.07
19970903,99.6
19970904,99.47
19970905,98.86
19970908,99.07
19970909,99.05
19970910,98.71
19970911,97.96
19970912,97.73
19970915,97.28
19970916,97.68
19970917,97.7
19970918,97.99
19970919,97.83
19970922,98.43
19970923,98.39
19970924,97.49
19970925,97.05
19970926,97.25
19970929,97.26
19970930,97.11
19971001,97.6
19971002,97.64
19971003,97.08
19971006,97.13
19971007,97.13
19971008,96.69
19971009,96.61
19971010,96.66
19971013,96.87
19971014,96.95
19971015,96.72
19971016,96.49
19971017,97.54
19971020,97.49
19971021,98.1
19971022,97.98
19971023,97.44
19971024,97.73
19971027,97.01
19971028,96.06
19971029,95.77
19971030,95.46
19971031,95.64
19971103,96.07
19971104,95.54
19971105,95.52
19971106,95.65
19971107,95.25
19971110,95.2
19971111,95.21
19971112,95.76
19971113,95.95
19971114,96.15
19971117,96.19
19971118,96.19
19971119,96.39
19971120,96.72
19971121,96.6
19971124,96.68
19971125,97.23
19971126,97.66
19971127,97.88
19971128,97.77
19971201,98.4
19971202,98.32
19971203,98.1
19971204,98.35
19971205,98.86
19971208,99.24
19971209,99.16
19971210,98.98
19971211,98.18
19971212,98.72
19971215,98.76
19971216,99.06
19971217,98.28
19971218,98.47
19971219,98.54
19971222,98.83
19971223,98.57
19971224,98.51
19971226,98.51
19971229,99.1
19971230,99.28
19971231,99.65
19980102,100.1
19980105,101.06
19980106,101.4
19980107,100.64
19980108,101.02
19980109,100.93
19980112,100.93
19980113,100.71
19980114,100.74
19980115,100.98
19980116,100.99
19980119,101.04
19980120,101.2
19980121,100.24
19980122,99.76
19980123,98.44
19980126,99.16
19980127,98.98
19980128,99.82
19980129,100.58
19980130,100.72
19980202,100.27
19980203,99.86
19980204,99.14
19980205,98.55
19980206,99.52
19980209,99.93
19980210,99.57
19980211,99.94
19980212,99.59
19980213,100.01
19980216,100.12
19980217,100.51
19980218,100.17
19980219,100
19980220,100.32
19980223,99.32
19980224,99.35
19980225,100.19
19980226,99.94
19980227,99.83
19980302,99.58
19980303,99.55
19980304,99.9
19980305,100.83
19980306,100.63
19980309,100.31
