Date,ACWI,BCOM Index,JPEGCOMP Index,SP500BDT Index
1997-01-01,201.784,,,126.31
1997-01-02,200.333,122.5745,138.706,125.59
1997-01-03,201.65,122.5086,139.584,125.76
1997-01-06,202.207,124.4082,139.536,125.65
1997-01-07,202.642,124.372,139.332,125.52
1997-01-08,201.932,125.0008,139.443,125.42
1997-01-09,201.694,124.8161,139.795,125.89
1997-01-10,200.765,124.712,139.976,125.21
1997-01-13,202.181,123.9661,139.937,125.32
1997-01-14,203.83,124.0455,141.169,126.01
1997-01-15,204.188,125.6873,141.902,126.01
1997-01-16,205.07,124.4821,141.942,125.71
1997-01-17,205.329,123.9303,142.283,125.89
1997-01-20,204.325,,,125.97
1997-01-21,204.387,122.9441,143.007,126.3
1997-01-22,205.445,123.169,143.606,126.11
1997-01-23,204.137,123.204,143.635,125.96
1997-01-24,202.669,123.3229,142.475,125.73
1997-01-27,201.009,123.8229,142.233,125.57
1997-01-28,200.992,123.2202,142.998,125.81
1997-01-29,201.935,123.1462,142.481,125.93
1997-01-30,203.286,123.27,143.136,126.14
1997-01-31,204.858,122.2915,143.785,126.71
1997-02-03,204.788,122.1586,144.762,127.24
1997-02-04,205.335,122.2623,145.187,127.38
1997-02-05,203.982,122.4419,145.475,127.29
1997-02-06,204.067,121.165,144.893,127.22
1997-02-07,204.903,119.8387,145.25,127.66
1997-02-10,205.803,120.1286,145.684,127.78
1997-02-11,206.027,120.2344,146.46,127.76
1997-02-12,207.687,120.5259,146.929,127.76
1997-02-13,208.992,120.8561,147.708,128.34
1997-02-14,208.986,121.1475,147.949,128.69
1997-02-17,208.781,,,128.77
1997-02-18,209.372,121.6379,147.968,128.77
1997-02-19,209.067,122.5968,147.879,128.68
1997-02-20,208.786,122.6182,147.515,128.33
1997-02-21,209.029,122.7309,148.336,128.31
1997-02-24,210.563,121.9642,148.666,128.2
1997-02-25,211.452,122.7792,149.293,128.23
1997-02-26,209.857,123.469,148.136,127.19
1997-02-27,208.759,123.3018,146.412,127.09
1997-02-28,207.339,123.0913,146.131,127.3
1997-03-03,207.301,123.9837,143.852,127.21
1997-03-04,207.191,124.72,143.855,127.02
1997-03-05,208.188,123.6761,142.511,127.11
1997-03-06,207.902,124.7745,143.139,126.91
1997-03-07,208.827,125.2885,144.755,127.31
1997-03-10,210.538,125.7144,145.219,127.42
1997-03-11,210.638,125.6883,145.015,127.41
1997-03-12,208.822,124.6652,144.734,127.22
1997-03-13,206.253,124.5587,143.127,126.47
1997-03-14,206.763,126.0076,143.735,126.7
1997-03-17,206.256,124.1896,142.956,126.66
1997-03-18,205.92,124.7786,143.497,126.6
1997-03-19,205.628,125.2893,143.386,126.45
1997-03-20,203.832,125.9543,143.446,126.44
1997-03-21,204.888,125.076,144.168,126.45
1997-03-24,204.975,124.0579,144.537,126.63
1997-03-25,205.78,124.7709,144.531,126.44
1997-03-26,206.634,124.4625,143.751,126.27
1997-03-27,205.156,125.3242,143.08,125.64
1997-03-28,204.995,,,125.67
1997-03-31,202.842,125.1046,141.262,125.57
1997-04-01,201.44,125.1123,141.399,125.77
1997-04-02,200.625,123.6712,141.784,125.81
1997-04-03,200.163,122.2051,141.624,125.89
1997-04-04,200.676,121.314,140.823,125.52
1997-04-07,200.809,121.3921,141.788,125.92
1997-04-08,201.421,121.3409,141.958,125.77
1997-04-09,200.672,121.8432,141.791,125.78
1997-04-10,199.967,122.7075,141.318,125.76
1997-04-11,197.375,121.8255,140.645,125.33
1997-04-14,197.243,122.7295,140.338,125.39
1997-04-15,199.506,122.4083,141.567,126.01
1997-04-16,201.278,121.6217,141.641,125.89
1997-04-17,201.52,122.3245,142.32,126.23
1997-04-18,202.578,123.331,142.268,126.33
1997-04-21,202.954,123.7445,142.251,126.17
1997-04-22,204.404,123.6991,142.272,126.41
1997-04-23,205.138,123.9531,143.046,126.19
1997-04-24,204.91,123.9578,142.814,125.94
1997-04-25,203.334,124.5136,142.921,125.81
1997-04-28,203.995,123.7905,143.134,126.06
1997-04-29,207.18,124.4771,144.893,127.03
1997-04-30,208.993,125.5463,145.412,127.43
1997-05-01,209.442,125.4561,146.0,127.53
1997-05-02,211.469,124.7437,147.166,127.67
1997-05-05,213.809,124.8029,147.405,127.84
1997-05-06,215.898,124.537,148.291,127.87
1997-05-07,214.585,124.9386,147.009,127.35
1997-05-08,215.429,125.9593,147.142,127.73
1997-05-09,216.892,126.5915,147.363,128.06
1997-05-12,219.911,127.2236,147.972,128.33
1997-05-13,219.866,127.5571,147.694,127.99
1997-05-14,220.642,127.1075,147.096,128.25
1997-05-15,221.356,127.598,147.679,128.39
1997-05-16,221.005,128.4851,147.659,128.19
1997-05-19,220.892,127.9219,147.639,128.22
1997-05-20,222.348,126.71,148.129,128.3
1997-05-21,222.228,127.5249,149.386,128.08
1997-05-22,221.006,127.5112,149.495,127.96
1997-05-23,223.064,127.0061,149.934,128.06
1997-05-26,223.239,,,128.14
1997-05-27,222.798,126.1855,149.403,127.87
1997-05-28,222.9,127.3436,149.498,127.82
1997-05-29,222.384,128.2295,149.912,128.22
1997-05-30,221.109,126.8556,150.341,128.78
1997-06-02,221.625,125.8048,150.577,128.98
1997-06-03,222.023,125.171,151.159,129.22
1997-06-04,221.704,123.6343,151.11,129.25
1997-06-05,222.489,123.1139,151.5,129.31
1997-06-06,224.637,122.287,152.464,130.12
1997-06-09,226.53,122.0772,152.472,129.86
1997-06-10,226.999,121.3216,152.42,129.85
1997-06-11,228.021,121.4346,152.355,129.93
1997-06-12,229.662,121.2518,153.254,130.54
1997-06-13,231.02,121.2925,153.97,130.91
1997-06-16,232.112,121.0698,154.518,131.17
1997-06-17,231.349,121.8116,154.183,131.07
1997-06-18,230.772,120.4103,154.258,131.24
1997-06-19,232.192,120.4421,154.321,131.3
1997-06-20,232.292,119.6603,154.797,131.48
1997-06-23,230.146,120.0271,154.435,131.28
1997-06-24,232.457,119.5856,154.01,131.32
1997-06-25,233.555,119.7344,153.898,131.1
1997-06-26,233.224,118.7488,153.478,130.78
1997-06-27,232.656,119.1478,153.741,131.06
1997-06-30,232.081,119.057,153.633,130.81
1997-07-01,233.282,118.6653,154.607,131.24
1997-07-02,235.059,118.5265,155.152,131.52
1997-07-03,238.113,117.2124,156.288,132.35
1997-07-04,237.904,,,132.38
1997-07-07,237.742,115.677,156.962,132.78
1997-07-08,238.249,116.0713,157.185,132.77
1997-07-09,237.056,116.4032,157.716,133.02
1997-07-10,237.557,115.8319,157.46,133.01
1997-07-11,237.957,116.1915,157.506,133.19
1997-07-14,238.524,116.8834,156.885,133.14
1997-07-15,238.26,117.4809,155.689,133.15
1997-07-16,241.209,116.8343,156.636,134.02
1997-07-17,240.703,117.4867,156.7,134.04
1997-07-18,237.493,117.6569,155.706,133.76
1997-07-21,235.957,116.8167,155.649,133.68
1997-07-22,239.16,117.3955,156.988,134.61
1997-07-23,240.51,118.1988,157.708,134.77
1997-07-24,240.536,118.8705,158.528,134.76
1997-07-25,240.083,119.9562,158.364,134.61
1997-07-28,239.635,121.1942,158.803,134.92
1997-07-29,240.38,121.246,159.358,135.29
1997-07-30,241.771,121.4413,159.85,135.68
1997-07-31,242.237,122.3872,159.983,135.97
1997-08-01,239.879,122.9392,159.235,134.63
1997-08-04,238.85,123.6514,158.846,134.54
1997-08-05,238.383,122.8483,159.536,134.49
1997-08-06,240.635,122.8538,160.457,134.7
1997-08-07,240.01,122.4001,160.657,134.47
1997-08-08,238.325,122.1078,159.476,133.42
1997-08-11,236.991,121.4933,159.34,133.55
1997-08-12,235.993,121.3811,159.907,133.43
1997-08-13,235.1,121.7745,160.044,133.67
1997-08-14,234.546,121.4909,160.834,134.23
1997-08-15,231.784,121.1124,160.53,134.3
1997-08-18,231.405,120.2139,159.721,134.71
1997-08-19,233.211,121.3039,160.521,134.75
1997-08-20,235.45,120.4212,160.647,134.55
1997-08-21,234.178,120.6216,160.329,134.13
1997-08-22,232.048,121.2316,159.181,133.68
1997-08-25,231.183,120.334,159.493,133.64
1997-08-26,230.32,120.3655,159.438,133.72
1997-08-27,229.678,121.3733,159.818,133.77
1997-08-28,227.248,121.2647,160.033,134.35
1997-08-29,224.917,121.7564,159.206,134.1
1997-09-01,223.918,,,134.13
1997-09-02,228.069,121.8778,159.833,134.43
1997-09-03,230.071,122.3325,160.156,134.32
1997-09-04,230.19,121.7394,159.973,134.31
1997-09-05,231.192,121.7954,160.028,134.02
1997-09-08,231.551,121.1913,160.433,134.3
1997-09-09,232.451,121.3429,160.524,134.28
1997-09-10,229.767,121.2282,160.542,134.08
1997-09-11,227.108,121.4754,160.34,133.91
1997-09-12,228.253,120.6129,160.9,134.65
1997-09-15,228.634,120.3837,161.157,134.85
1997-09-16,231.81,120.4916,162.278,136.19
1997-09-17,232.279,120.2935,162.703,136.38
1997-09-18,233.215,120.6488,162.684,136.33
1997-09-19,233.675,120.4895,162.986,136.45
1997-09-22,234.712,120.9329,163.341,136.73
1997-09-23,234.401,121.0317,163.002,136.46
1997-09-24,235.548,121.1674,163.497,136.92
1997-09-25,234.722,122.1588,163.253,136.33
1997-09-26,235.506,122.5139,163.536,136.67
1997-09-29,236.696,123.0398,163.414,136.65
1997-09-30,236.582,122.5685,163.625,136.51
1997-10-01,237.807,122.3593,164.352,137.2
1997-10-02,238.357,122.9526,165.067,137.39
1997-10-03,239.484,124.6579,165.621,137.44
1997-10-06,240.347,123.4923,166.053,137.91
1997-10-07,241.266,123.7712,166.417,138.14
1997-10-08,240.412,124.3043,165.42,137.1
1997-10-09,238.692,124.2434,164.621,137.0
1997-10-10,238.022,125.2387,164.123,136.56
1997-10-13,238.459,,,136.63
1997-10-14,238.304,123.4821,164.924,137.24
1997-10-15,237.711,123.6,164.887,137.06
1997-10-16,237.392,123.6058,165.052,137.1
1997-10-17,234.428,122.6761,164.406,136.68
1997-10-20,234.426,123.2004,164.698,136.86
1997-10-21,237.06,123.2548,165.176,136.88
1997-10-22,236.413,124.5029,165.414,136.99
1997-10-23,230.318,123.4484,162.517,137.71
1997-10-24,229.134,122.7068,160.349,137.99
1997-10-27,218.514,122.9545,147.908,138.26
1997-10-28,220.056,121.6245,150.517,137.69
1997-10-29,223.842,121.9827,147.574,138.17
1997-10-30,220.079,122.7376,144.647,138.63
1997-10-31,222.174,122.5354,146.286,138.69
1997-11-03,226.657,122.6259,149.707,138.2
1997-11-04,226.904,122.0171,152.358,137.84
1997-11-05,227.146,122.006,151.246,138.0
1997-11-06,226.057,121.8145,149.224,138.56
1997-11-07,221.905,122.198,145.722,138.56
1997-11-10,220.685,121.7368,145.809,138.49
1997-11-11,221.11,,,138.52
1997-11-12,216.655,121.9609,141.595,138.69
1997-11-13,217.864,122.2252,142.576,138.79
1997-11-14,218.688,121.7408,144.71,138.86
1997-11-17,224.342,121.0222,146.469,138.91
1997-11-18,224.264,120.3444,146.353,138.91
1997-11-19,222.909,119.8862,148.509,139.19
1997-11-20,225.937,118.449,150.056,139.03
1997-11-21,228.459,119.0204,152.416,139.24
1997-11-24,225.359,118.6625,149.986,138.94
1997-11-25,223.505,117.9746,151.013,139.12
1997-11-26,223.78,117.4654,152.087,139.21
1997-11-27,224.927,,,139.23
1997-11-28,225.256,117.1992,152.489,139.36
1997-12-01,228.644,116.8652,153.784,139.38
1997-12-02,229.115,116.6777,155.987,139.5
1997-12-03,229.463,116.1385,155.899,139.71
1997-12-04,229.513,115.3643,157.38,139.69
1997-12-05,230.642,115.9112,158.012,139.33
1997-12-08,230.628,116.2132,157.205,139.01
1997-12-09,229.959,116.2038,155.673,139.12
1997-12-10,228.587,116.2327,152.533,139.53
1997-12-11,224.247,115.2475,150.122,140.16
1997-12-12,223.727,114.7467,149.505,140.81
1997-12-15,224.93,114.2566,152.005,140.59
1997-12-16,226.228,113.7136,152.995,140.66
1997-12-17,228.466,114.3539,153.453,140.42
1997-12-18,226.647,114.4195,152.016,140.82
1997-12-19,222.871,114.0911,150.613,141.14
1997-12-22,222.495,113.1784,150.354,141.28
1997-12-23,221.466,113.4502,151.547,141.26
1997-12-24,220.831,113.8846,152.657,141.23
1997-12-25,220.831,,,141.25
1997-12-26,221.55,113.8098,153.337,141.22
1997-12-29,225.094,112.7256,155.356,141.22
1997-12-30,228.094,112.7248,155.813,140.81
1997-12-31,227.875,111.9836,156.219,141.21
1998-01-01,227.875,,,141.24
1998-01-02,228.392,111.0729,156.703,141.82
1998-01-05,228.657,110.1761,156.445,143.14
1998-01-06,226.489,109.7168,154.625,143.4
1998-01-07,225.821,109.7662,154.687,142.89
1998-01-08,223.846,108.9885,153.781,143.4
1998-01-09,218.768,108.1058,152.679,144.02
1998-01-12,216.915,107.1926,151.447,143.96
1998-01-13,220.064,108.7729,153.204,143.73
1998-01-14,222.151,108.8202,153.816,143.45
1998-01-15,221.182,109.1034,152.179,143.41
1998-01-16,225.286,109.7247,153.719,142.87
1998-01-19,226.904,,,142.95
1998-01-20,228.808,109.7031,154.023,142.72
1998-01-21,228.344,109.4162,152.861,142.87
1998-01-22,227.531,109.4344,153.002,142.67
1998-01-23,227.651,109.8445,152.362,141.5
1998-01-26,228.732,111.1873,153.231,142.16
1998-01-27,230.958,111.6647,154.294,141.83
1998-01-28,232.459,112.1156,153.945,141.76
1998-01-29,233.206,113.028,155.435,142.58
1998-01-30,232.576,111.9258,156.97,142.93
1998-02-02,237.261,112.0851,157.78,142.55
1998-02-03,238.758,110.8251,157.538,142.65
1998-02-04,239.064,110.907,158.023,142.67
1998-02-05,240.297,111.5172,158.167,142.29
1998-02-06,241.395,111.207,159.028,142.29
1998-02-09,240.811,110.6446,158.692,142.13
1998-02-10,242.213,110.7801,159.021,142.34
1998-02-11,242.637,109.9231,160.106,143.1
1998-02-12,242.385,109.8912,159.401,143.09
1998-02-13,240.511,109.7909,159.374,143.37
1998-02-16,240.645,,,143.45
1998-02-17,241.781,107.9664,159.783,143.82
1998-02-18,243.299,108.7279,159.942,143.52
1998-02-19,242.489,108.7789,160.287,143.49
1998-02-20,243.276,107.871,159.594,143.39
1998-02-23,244.548,106.009,159.962,143.16
1998-02-24,242.749,105.3209,159.18,142.39
1998-02-25,245.194,105.8196,160.285,142.84
1998-02-26,246.926,105.9111,160.509,142.67
1998-02-27,248.164,106.6887,161.118,142.99
1998-03-02,249.952,107.0037,161.254,142.31
1998-03-03,250.038,106.0026,161.32,141.96
1998-03-04,247.825,105.8548,161.418,142.07
1998-03-05,244.634,105.7894,160.389,141.96
1998-03-06,248.628,105.2033,161.315,142.35
1998-03-09,249.058,104.4362,161.235,142.9
1998-03-10,250.696,104.7218,161.866,143.0
1998-03-11,251.002,104.7619,162.502,143.28
1998-03-12,251.182,105.1171,163.251,143.87
1998-03-13,253.111,104.5067,163.481,143.77
1998-03-16,253.761,103.3167,164.263,144.14
1998-03-17,255.057,102.9463,163.624,143.99
1998-03-18,254.481,104.554,164.611,143.85
1998-03-19,255.613,104.2551,165.252,143.86
1998-03-20,257.252,104.4689,165.553,144.01
1998-03-23,257.541,108.2323,166.432,144.16
1998-03-24,258.99,106.9111,165.563,144.16
1998-03-25,259.752,107.3358,164.646,143.67
1998-03-26,259.694,107.9006,164.942,143.46
1998-03-27,259.22,107.8341,165.522,143.45
1998-03-30,257.048,107.3797,164.814,143.28
1998-03-31,258.389,106.5161,164.777,143.69
1998-04-01,259.508,105.4454,164.95,144.13
1998-04-02,260.364,106.117,164.37,144.62
1998-04-03,260.659,106.2521,163.044,145.44
1998-04-06,262.105,104.9399,163.515,145.1
1998-04-07,260.882,105.1462,164.456,144.97
1998-04-08,260.379,105.7788,164.247,144.53
1998-04-09,262.949,106.177,164.862,144.63
1998-04-10,262.968,,,144.66
1998-04-13,262.686,105.4932,164.794,144.14
1998-04-14,264.725,105.3111,165.431,144.47
1998-04-15,265.472,106.3411,165.62,144.72
1998-04-16,261.72,106.6837,165.165,144.93
1998-04-17,262.959,106.1627,165.046,144.96
1998-04-20,264.003,106.1652,164.608,144.6
1998-04-21,264.872,107.1592,164.927,144.32
1998-04-22,264.776,105.9944,164.973,144.32
1998-04-23,262.277,105.4508,165.042,144.25
1998-04-24,260.376,105.2152,164.921,144.56
1998-04-27,254.507,105.2837,162.446,143.51
1998-04-28,255.286,105.7423,162.997,143.5
1998-04-29,256.353,104.9918,163.54,143.45
1998-04-30,260.455,104.6834,165.158,144.56
1998-05-01,262.143,105.6332,165.699,144.72
1998-05-04,263.869,105.8152,165.25,144.77
1998-05-05,262.645,105.3429,164.548,144.55
1998-05-06,260.77,104.6983,163.773,144.88
1998-05-07,258.089,104.0688,163.863,144.88
1998-05-08,259.888,103.797,163.863,144.62
1998-05-11,260.982,103.0378,162.98,144.02
1998-05-12,260.632,103.1049,162.202,144.72
1998-05-13,260.692,102.4689,162.399,144.89
1998-05-14,260.174,102.6911,162.419,144.71
1998-05-15,258.995,101.6644,163.022,144.74
1998-05-18,256.236,100.3793,159.93,145.23
1998-05-19,258.117,100.1043,160.529,145.11
1998-05-20,260.629,99.309,161.777,145.49
1998-05-21,261.337,99.5416,161.956,145.16
1998-05-22,261.026,99.9109,161.617,145.39
1998-05-25,260.823,,,145.48
1998-05-26,258.724,98.5436,159.487,145.94
1998-05-27,255.694,98.419,159.112,146.18
1998-05-28,255.971,98.319,160.671,146.11
1998-05-29,255.141,99.122,160.171,146.38
1998-06-01,253.591,98.2145,159.714,146.61
1998-06-02,254.806,98.2203,161.741,146.46
1998-06-03,254.553,98.0888,161.585,146.41
1998-06-04,255.945,98.1857,161.821,146.25
1998-06-05,258.494,97.8407,162.185,146.37
1998-06-08,259.381,97.1064,161.506,146.46
1998-06-09,259.459,96.058,161.044,146.45
1998-06-10,256.674,95.8845,160.17,147.15
1998-06-11,252.445,94.9574,158.403,147.76
1998-06-12,250.947,95.0908,158.584,147.76
1998-06-15,245.489,93.7367,157.1,148.16
1998-06-16,248.015,94.1088,158.382,147.42
1998-06-17,253.941,95.8739,160.083,146.54
1998-06-18,254.776,95.1049,158.612,146.88
1998-06-19,254.28,96.5545,158.982,147.14
1998-06-22,252.558,96.8384,158.43,147.33
1998-06-23,254.668,98.1992,159.033,147.52
1998-06-24,256.587,98.1955,158.518,147.46
1998-06-25,257.568,97.1752,156.781,147.48
1998-06-26,257.159,96.8984,153.826,147.64
1998-06-29,258.705,95.7807,154.904,147.57
1998-06-30,259.395,96.5615,156.113,147.84
1998-07-01,262.644,96.0117,156.911,147.89
1998-07-02,262.349,95.7201,156.852,148.18
1998-07-03,263.238,,,148.21
1998-07-06,264.567,94.6385,154.384,148.51
1998-07-07,265.156,94.9689,155.336,148.34
1998-07-08,266.604,95.0962,155.629,148.13
1998-07-09,264.338,94.4241,155.542,148.33
1998-07-10,264.229,93.5262,157.571,148.26
1998-07-13,265.797,93.4452,159.384,147.87
1998-07-14,269.124,93.979,160.301,147.61
1998-07-15,269.363,93.956,159.79,147.73
1998-07-16,271.15,93.4677,160.018,147.58
1998-07-17,272.796,93.8584,160.522,147.45
1998-07-20,273.567,92.5853,161.33,147.78
1998-07-21,269.923,92.2607,161.293,148.12
1998-07-22,267.304,92.3144,160.568,148.05
1998-07-23,263.622,91.8043,158.702,148.25
1998-07-24,263.957,92.1214,157.669,148.12
1998-07-27,262.016,91.8236,155.839,148.06
1998-07-28,260.4,91.6442,155.429,147.81
1998-07-29,259.227,91.1402,155.99,147.59
1998-07-30,262.346,91.202,156.684,147.84
1998-07-31,259.118,90.3537,157.024,147.81
1998-08-03,255.649,88.8784,156.136,148.63
1998-08-04,250.677,89.2943,155.327,148.76
1998-08-05,250.361,89.1288,154.349,148.72
1998-08-06,249.698,89.3534,153.272,148.54
1998-08-07,250.288,89.5983,148.348,148.97
1998-08-10,247.228,88.5483,143.827,148.98
1998-08-11,241.894,87.1848,142.443,149.26
1998-08-12,245.039,87.0209,139.926,149.08
1998-08-13,242.753,87.7034,144.357,148.75
1998-08-14,241.938,87.7628,145.698,149.22
1998-08-17,243.758,87.9664,139.601,149.09
1998-08-18,248.446,87.5114,139.47,148.71
1998-08-19,248.991,87.4593,137.378,148.63
1998-08-20,247.649,88.1448,131.58,148.95
1998-08-21,242.158,86.8303,122.745,149.0
1998-08-24,243.063,87.2459,122.33,148.99
1998-08-25,244.985,86.9479,125.303,149.24
1998-08-26,241.291,86.2147,121.39,149.15
1998-08-27,232.728,85.1868,112.308,149.14
1998-08-28,230.067,84.7805,114.65,148.76
1998-08-31,222.452,84.2667,114.092,149.11
1998-09-01,226.736,85.747,118.357,148.89
1998-09-02,228.4,85.6189,119.423,148.55
1998-09-03,226.923,87.4753,115.104,148.98
1998-09-04,225.8,87.6141,115.829,149.24
1998-09-07,229.729,,,149.32
1998-09-08,236.158,87.954,115.83,149.02
1998-09-09,232.098,87.4138,116.19,149.89
1998-09-10,226.996,88.7877,109.581,151.12
1998-09-11,229.328,88.3648,109.826,150.31
1998-09-14,233.546,88.4314,110.69,149.95
1998-09-15,234.99,89.3636,115.537,149.95
1998-09-16,236.083,88.9637,120.064,150.02
1998-09-17,230.342,88.9341,116.079,150.11
1998-09-18,228.911,89.9644,118.366,150.18
1998-09-21,226.316,89.6711,120.117,150.28
1998-09-22,228.602,89.9781,122.637,150.48
1998-09-23,234.61,89.9435,126.36,150.55
1998-09-24,232.615,90.562,125.153,150.81
1998-09-25,231.267,90.2086,125.863,150.9
1998-09-28,232.707,90.1558,127.196,151.01
1998-09-29,232.834,90.5237,125.132,151.12
1998-09-30,226.527,90.4466,123.95,151.48
1998-10-01,219.501,89.2914,120.674,151.82
1998-10-02,219.456,89.6688,124.068,151.81
1998-10-05,215.951,89.1162,121.848,152.35
1998-10-06,218.879,89.4279,123.448,152.73
1998-10-07,220.81,89.8813,123.49,152.15
1998-10-08,217.345,88.5571,122.794,151.33
1998-10-09,221.03,88.947,124.353,150.29
1998-10-12,226.712,88.3342,,150.33
1998-10-13,226.414,88.5675,125.797,150.59
1998-10-14,228.576,87.9463,126.657,151.34
1998-10-15,235.118,88.0031,127.927,151.3
1998-10-16,239.034,88.5226,129.229,152.05
1998-10-19,239.635,87.2033,130.099,152.06
1998-10-20,241.757,87.1835,131.976,151.77
1998-10-21,241.953,87.6478,131.843,151.64
1998-10-22,242.892,87.4468,132.56,151.44
1998-10-23,241.99,87.5089,132.186,151.22
1998-10-26,241.938,87.796,131.773,151.5
1998-10-27,242.116,87.1488,131.079,152.02
1998-10-28,240.955,87.2499,129.931,152.05
1998-10-29,244.079,87.1323,128.98,152.28
1998-10-30,246.874,87.457,131.868,151.79
1998-11-02,251.725,87.3715,133.796,151.11
1998-11-03,251.09,87.3255,134.127,151.15
1998-11-04,254.458,87.3134,134.358,150.58
1998-11-05,255.284,87.5833,135.727,150.68
1998-11-06,255.461,87.5077,137.001,150.17
1998-11-09,251.659,86.5984,136.491,150.8
1998-11-10,249.974,86.8199,135.601,151.06
1998-11-11,250.681,86.8358,,151.12
1998-11-12,248.274,87.4784,133.734,151.42
1998-11-13,250.171,86.6173,134.18,151.42
1998-11-16,254.609,84.9609,135.504,151.48
1998-11-17,254.379,84.5255,137.34,151.48
1998-11-18,255.304,84.566,137.084,151.78
1998-11-19,257.968,84.2218,138.682,151.83
1998-11-20,261.037,84.1176,142.267,152.11
1998-11-23,265.104,82.6884,142.444,152.18
1998-11-24,264.78,82.3768,141.546,152.44
1998-11-25,264.42,82.1831,141.335,152.75
1998-11-26,266.182,,,152.81
1998-11-27,266.687,82.4651,142.469,153.06
1998-11-30,261.527,80.8446,140.909,153.85
1998-12-01,259.914,80.5809,139.203,154.06
1998-12-02,259.609,80.3102,138.844,154.55
1998-12-03,257.712,79.8753,136.862,154.67
1998-12-04,260.752,79.7521,136.229,154.39
1998-12-07,262.114,80.1673,137.112,154.4
1998-12-08,262.126,79.1577,137.708,154.93
1998-12-09,263.539,78.6113,137.369,155.24
1998-12-10,261.477,77.9588,136.93,155.28
1998-12-11,259.943,77.5265,135.459,154.81
1998-12-14,256.583,78.3648,133.371,155.01
1998-12-15,258.886,78.4811,135.317,154.73
1998-12-16,259.611,79.9055,135.007,155.01
1998-12-17,262.65,77.6865,134.633,155.09
1998-12-18,263.984,77.4112,134.76,155.07
1998-12-21,267.549,76.6084,136.515,154.74
1998-12-22,267.091,76.6972,137.472,154.32
1998-12-23,271.585,76.765,137.646,153.71
1998-12-24,270.762,76.8466,137.393,153.29
1998-12-25,270.982,,,153.27
1998-12-28,271.676,77.0601,137.548,153.65
1998-12-29,274.506,77.5308,137.308,154.06
1998-12-30,272.899,77.3635,137.747,154.25
1998-12-31,273.301,77.8027,138.184,154.44
1999-01-01,273.301,,,154.58
1999-01-04,276.123,78.1872,140.045,154.44
1999-01-05,278.925,77.9675,141.92,154.04
1999-01-06,284.216,79.4326,142.346,154.53
1999-01-07,283.458,79.5896,139.621,154.19
1999-01-08,283.17,80.0927,138.299,153.57
1999-01-11,280.658,80.6867,136.64,153.35
1999-01-12,275.832,79.6735,134.493,154.09
1999-01-13,271.681,78.2126,127.102,154.73
1999-01-14,269.702,77.9476,125.004,155.78
1999-01-15,274.001,77.8091,131.929,155.29
1999-01-18,276.387,,,155.35
1999-01-19,277.069,77.1468,134.938,155.17
1999-01-20,278.789,76.7741,135.854,154.97
1999-01-21,275.441,77.5603,131.793,155.43
1999-01-22,271.174,77.6183,131.106,156.0
1999-01-25,272.301,76.8658,129.77,155.85
1999-01-26,275.116,76.2375,131.843,155.71
1999-01-27,274.108,76.403,132.423,155.75
1999-01-28,276.5,76.9697,134.692,155.95
1999-01-29,278.551,77.1889,135.036,156.32
1999-02-01,279.072,76.7847,137.51,155.43
1999-02-02,277.957,77.1761,137.789,154.96
1999-02-03,277.586,77.0603,137.38,154.72
1999-02-04,274.413,77.2167,137.6,154.18
1999-02-05,272.475,77.1572,135.911,153.95
1999-02-08,272.008,77.2071,135.432,154.04
1999-02-09,267.005,76.5042,136.371,154.43
1999-02-10,267.238,76.3216,137.23,154.37
1999-02-11,271.831,76.1723,138.533,154.37
1999-02-12,270.49,76.0483,138.699,153.23
1999-02-15,270.484,,,153.26
1999-02-16,271.29,74.5453,140.176,153.69
1999-02-17,268.846,74.6213,139.884,154.14
1999-02-18,270.012,75.1665,139.629,153.85
1999-02-19,269.687,74.9579,139.839,153.66
1999-02-22,274.146,74.5578,139.24,154.09
1999-02-23,274.892,75.3077,138.259,153.52
1999-02-24,273.565,74.9005,138.429,152.77
1999-02-25,272.444,75.2478,136.404,151.77
1999-02-26,271.211,74.2411,136.371,152.19
1999-03-01,269.223,74.3505,136.7,151.28
1999-03-02,267.859,74.9038,135.456,151.64
1999-03-03,267.247,75.3181,134.614,151.26
1999-03-04,269.111,76.0815,135.674,151.06
1999-03-05,275.713,76.2358,137.134,151.85
1999-03-08,276.744,77.0171,137.599,152.18
1999-03-09,277.537,77.3879,138.78,153.0
1999-03-10,279.801,78.8439,140.167,152.85
1999-03-11,281.562,78.154,140.796,152.84
1999-03-12,282.501,77.8943,141.11,153.26
1999-03-15,284.449,77.1476,142.532,153.65
